origin_id,destination_id,entry_cost,network_co,exit_cost,distance
58,90,,,,
60,0,,,,
60,17,,,,
60,18,,,,
60,20,,,,
60,21,,,,
60,23,,,,
60,24,,,,
60,25,,,,
60,29,,,,
60,30,,,,
60,31,,,,
60,32,,,,
60,33,,,,
60,35,,,,
60,36,,,,
60,38,,,,
60,39,,,,
60,40,,,,
60,48,0.0000000,10917.3942873,0.0000000,10917.3942873
60,52,0.0000000,26401.5650752,0.0000000,26401.5650752
60,53,0.0000000,25967.1528053,0.0000000,25967.1528053
60,54,0.0000000,19482.2785888,0.0000000,19482.2785888
60,57,0.0000000,13641.2069807,0.0000000,13641.2069807
60,58,0.0000000,11706.6886474,0.0000000,11706.6886474
60,60,,,,
60,61,,,,
60,62,,,,
60,63,,,,
60,64,,,,
60,66,,,,
60,67,,,,
60,68,,,,
60,69,,,,
60,77,,,,
60,82,,,,
60,83,,,,
60,84,,,,
60,85,,,,
60,86,,,,
60,87,,,,
60,88,,,,
60,89,,,,
60,90,,,,
61,0,,,,
61,17,,,,
61,18,,,,
61,20,,,,
61,21,,,,
61,23,,,,
61,24,,,,
61,25,,,,
61,29,,,,
61,30,,,,
61,31,,,,
61,32,,,,
61,33,,,,
61,35,,,,
61,36,,,,
61,38,,,,
61,39,,,,
61,40,,,,
61,48,0.0000000,16730.6410316,0.0000000,16730.6410316
61,52,0.0000000,32214.8118195,0.0000000,32214.8118195
